jurisdiction,citation_bill,short_title,status,enacted_date,effective_date,operative_date,who_regulated,hook,carve_outs,enforcer,private_suit,statutory_damages,cure_period,primary_url,class_collective,plaintiffs_together,fee_shifting,arbitration_class_waiver,notice_cure,nexus,out_of_state_actor,choice_of_law_forum,no_extraterritorial_clause,insurance_situs,thresholds,retroactivity,limitations_period,safe_harbor,local_preemption,criminal_overlay,litigation_status,federal_preemption,ai_definition,impact_assessment_discoverable,waiver_indemnity_ban,record_retention,last_checked,summary 
NY,"N.Y. Civ. Rights Law §§ 52-c, 52-b; Penal L. § 245.15 as amd. L. 2023 ch. 513 and L. 2024 ch. 58 Part MM Subpart A",Intimate-image digitization (CRL 52-c / 52-b),in force,2023-09-29 (ch. 513); 2024-04-20 (52-b digitization via Part MM),"2023-11-28 (ch. 513, 60th day); 2024-04-20 (Part MM immediate)",same,"Actors who disseminate/publish or (52-c) threaten to disseminate intimate/sexually explicit stills or video, including images created or altered by digitization (another person's image or computer-generated images; 52-c names software/ML/AI)",Deepfake / intimate image,Penal: reporting unlawful conduct; lawful LE/legal/medical; voluntary public/commercial exposure; legitimate public purpose; § 230. Civil statutes have consent and First Amendment-adjacent limits as written. No insurance/GLBA carve-out.,DAs (criminal); private plaintiffs (civil),PRA (CRL § 52-c digitized sexually explicit depiction; CRL § 52-b intimate image including digitization). Penal is criminal only.,"CRL § 52-c: injunction, compensatory + punitive, costs/fees. No liquidated per-image schedule in the civil-rights sections as compiled. Penal § 245.15: class A misdemeanor.",none,https://www.nysenate.gov/legislation/laws/CVR/52-C,silent,depicted person (PRA); silent on class,yes — costs/fees authorized in CRL 52-c/52-b civil actions (as compiled),silent,silent (none),"52-b: still/video depicting an unclothed intimate part of a resident of this state, or a resident engaging in sexual conduct, hosted or transmitted without consent — defendant subject to personal jurisdiction in this state to the maximum extent permitted under the U.S. Constitution and federal law (Ch. 58 2024 Part MM). 52-c: dissemination/threat of digitized sexually explicit depiction.",express PJ hook for host/transmitter of a NY resident's intimate image to the maximum constitutional extent (52-b as amended) — not labeled developer/deployer,personal jurisdiction in a civil action in this state to the maximum extent permitted under the U.S. Constitution and federal law (52-b); silent on choice of law,silent,n/a,none,silent,silent in the civil-rights sections as compiled in this pass,Penal exceptions (LE/legal/medical; § 230); civil consent/First Amendment-adjacent limits as written,silent,also crime — Penal L. § 245.15 class A misdemeanor; civil PRA in CRL 52-c/52-b,silent,cite — § 230 overlay as written in the penal/civil statutes; PJ to the maximum extent permitted under federal law,"digitization: use of software, machine learning, artificial intelligence, or other computer-generated means, including adapting/modifying a realistic depiction (Part MM / 52-c)",silent,silent,silent,2026-09-02,"New York's civil intimate-image statutes reach images created or altered by digitization, including AI. CRL §§ 52-c and 52-b give the depicted person a PRA for injunction, compensatory and punitive damages, costs and fees. There is no BIPA-style liquidated schedule in those sections. Penal § 245.15 is a class A misdemeanor. No insurance carve-out."
TX,"Tex. Bus. & Com. Code ch. 552 (H.B. 149, 89th Leg., R.S., ch. 1174) — TRAIGA",Texas Responsible Artificial Intelligence Governance Act,in force,2025-06-22,2026-01-01,same as effective,"Developers and deployers of AI systems offered/used in Texas; governmental entities (social scoring, biometric ID, consumer-facing disclosure); health-care service/treatment providers (AI disclosure)",Intentional prohibited AI uses (self-harm/violence incitement; social scoring by government; biometric ID by government without consent; sole-intent constitutional infringement; intent to unlawfully discriminate; CSAM/NCII deepfakes; child-impersonating sexual chat). Consumer-facing government and health-care AI disclosure.,Ch. 552 may not be construed to authorize any agency other than TDI to regulate insurance. Unlawful-discrimination section does not apply to insurance entities providing insurance services if subject to unfair-discrimination / UTPA insurance statutes. Federally insured banks deemed compliant with that section if they comply with banking law. Disparate impact alone is not intent. Local AI ordinances preempted. No PRA.,"Attorney General exclusive (except licensed-person sanctions by a state agency after AG finding + recommendation, up to $100,000 plus license action). NIST GenAI RMF substantial compliance can defeat liability in specified circumstances.",none (express),"Civil penalties to the State: $10,000–$12,000 per curable violation or cure-statement breach; $80,000–$200,000 per uncurable violation; $2,000–$40,000 per day continuing. Not private damages.",60 days after AG written notice; AG may not sue if cured with supporting documentation and policy changes,https://statutes.capitol.texas.gov/GetStatute.aspx?Code=BC&Value=552,silent (no class language; chapter not subject to a PRA),none — chapter does not provide a basis for and is not subject to a private right of action (Bus. & Com. enrolled 552.106(b) family),yes — AG may recover attorney's fees and reasonable court costs (enrolled enforcement section),silent,60 days after AG written notice identifying provisions alleged; AG may not sue before the 60th day if the person cures and documents the manner of cure plus policy changes (552.104),"subtitle applies only to a person who (1) promotes, advertises, or conducts business in this state; (2) produces a product or service used by residents of this state; or (3) develops or deploys an artificial intelligence system in this state (551.002). Consumer = resident of this state acting in an individual/household context. Deployer = deploys an AI system for use in this state; developer = develops an AI system offered/sold/leased/given/provided in this state (552.001).","express — produces a product or service used by residents of this state, or develops/deploys an AI system in this state, or conducts business in this state (551.002)",silent,silent,n/a (chapter may not be construed to authorize any agency other than TDI to regulate insurance; discrimination section inapplicable to insurance entities already under unfair-discrimination/UTPA insurance statutes),none,silent (in force 2026-01-01),silent,NIST GenAI RMF substantial compliance can defeat liability in specified circumstances (chapter as indexed); 60-day cure,"yes — chapter supersedes and preempts any ordinance, resolution, rule, or other regulation adopted by a political subdivision regarding the use of AI systems (552.003)",civil-only (AG civil penalties; no PRA),silent,silent,"AI system: any machine-based system that, for any explicit or implicit objective, infers from the inputs the system receives how to generate outputs, including content, decisions, predictions, or recommendations, that can influence physical or virtual environments (551.001)",silent (no IA mandate in TRAIGA as a high-risk assessment statute),silent,silent,2026-09-02,"TRAIGA, in force 1 Jan 2026, is a prohibition-and-disclosure statute, not a high-risk impact-assessment regime. It bars developing or deploying AI with specified bad intents, requires government (and certain health-care) AI-interaction disclosures, and gives the AG exclusive enforcement after a 60-day cure, with tiered civil penalties. Insurance entities are carved out of the discrimination section when already under insurance unfair-trade statutes, and the chapter does not authorize non-TDI agencies to regulate insurance. There is no private right of action."
TX,"Tex. Penal Code § 21.165; Tex. Civ. Prac. & Rem. Code ch. 98B (as amended by S.B. 441, 89th Leg., eff. 2025-09-01)",Unlawful production/distribution of deep fake intimate media; civil liability for artificial intimate visual material,in force,2025 (S.B. 441 conference; Governor approval — eff. clause 2025-09-01),2025-09-01,same; civil amendments apply to causes accruing on or after that date,Persons who produce or electronically distribute nonconsensual deep-fake intimate media; owners of sites/apps/nudification tools/payment processors in specified reckless-facilitation scenarios,AI/ML deep fake media depicting a real person in intimate/sexual conduct that did not occur; civil 'artificial intimate visual material',"Affirmative defenses: law enforcement / reporting / legal proceedings; mere technical intermediaries; publicly accessible AI providers that prohibit NCII in terms, require user acknowledgment, and take listed technological steps. Written plain-language consent required for valid consent to produce/distribute.",Criminal prosecutors (Class A misdemeanor; F3 if prior or depicted person <18). Private civil plaintiffs under ch. 98B. AG may seek injunction against repeat site/app notice/takedown violations; those subsections are also DTPA-actionable.,PRA (ch. 98B),"No fixed per-image liquidated sum in § 98B.003: prevailing claimant shall be awarded actual damages (including mental anguish), costs, and reasonable attorney's fees, and may recover exemplary damages. Separate $1,000 / $500 per violation of a court's 98B injunction. 72-hour takedown after request for site owners under § 98B.0022(b).",72 hours for website/app owners to remove material after the depicted person's request (§ 98B.0022(b)); not a general pre-suit cure,https://capitol.texas.gov/tlodocs/89R/billtext/html/SB00441F.HTM,silent,depicted claimant (ch. 98B); silent on class,yes — prevailing claimant shall be awarded costs and reasonable attorney's fees (98B.003 as amended),silent,72 hours for website/app owners to remove material after the depicted person's request (§ 98B.0022(b)); not a general pre-suit cure,silent as a residence clause in the enrolled civil chapter (depicts a real person; Texas courts via CPRC),silent,silent,silent,n/a,none,civil amendments apply to causes accruing on or after 2025-09-01,"suit not later than 10 years after the later of the date the depicted person reasonably discovers the intimate visual material, or turns 18 (98B.009 as amended by S.B. 441)","affirmative defenses: LE/reporting/legal proceedings; mere technical intermediaries; publicly accessible AI providers that prohibit NCII in terms, require user acknowledgment, and take listed technological steps (S.B. 441)",silent,also crime — Penal Code § 21.165 Class A misdemeanor (F3 if prior or depicted person <18); plus civil ch. 98B,silent,silent,deep fake media / artificial intimate visual material: AI/ML or computer-generated depiction of a real person in intimate/sexual conduct that did not occur (Penal § 21.165; CPRC ch. 98B),silent,silent,silent,2026-09-02,"S.B. 441 expands Penal Code § 21.165 to AI deep-fake intimate media (production or electronic distribution without effective written consent) and threats to do so, with restitution on conviction. Chapter 98B adds civil liability for producing/soliciting/disclosing/promoting artificial intimate visual material with intent to harm, plus site/app/nudification/payment-processor theories and a 72-hour takedown duty. Civil recoveries are actual damages (including mental anguish), fees, and exemplary damages — not a BIPA-style $1k/$5k schedule."
TN,"Tenn. Code Ann. §§ 47-25-1101–1108 (ELVIS Act, 2024 Tenn. Pub. Acts ch. 588, HB 2091 / SB 2096)","Ensuring Likeness, Voice, and Image Security Act of 2024",in force,2024-03-21,2024-07-01,same as effective,"Persons who use an individual's name, photograph, voice, or likeness; persons who publish/distribute unauthorized voice/likeness; persons who distribute a tool whose primary purpose is producing a particular identifiable individual's photograph, voice, or likeness",Voice defined to include a readily identifiable simulation of an individual's voice (AI voice clones); commercial advertising/fundraising uses and knowing distribution of clone tools,"Fair-use style exceptions in the 2024 amendments: news/public affairs/sports; comment, criticism, scholarship, satire, parody; self-portrayal in an audiovisual work unless it creates a false authentic-performance impression; fleeting/incidental use; ads for those excepted works. First Amendment overlay is express.",Private civil action; Class A misdemeanor for unauthorized use; contraband seizure for tangible goods,PRA,No general liquidated sum: actual damages plus profits attributable to the use not taken into account in actual damages; injunction and destruction. Treble the (d)(1) amount plus reasonable attorney's fees if the knowing violation is of a member of the armed forces. (Secondary sources sometimes overstate general treble damages; the Justia compilation of § 47-25-1106(d)(2) limits treble+fees to armed-forces victims.),none,https://publications.tnsosfiles.com/acts/113/pub/pc0588.pdf,silent,"individual or, where a person has an exclusive recording-artist services contract or exclusive sound-recording distribution license, that person or the individual may sue (§ 47-25-1106(f) as added); silent on class","yes, limited — treble the (d)(1) amount plus reasonable attorney's fees if the knowing violation is of a member of the armed forces (§ 47-25-1106(d)(2)); silent as a general fee-shift for other plaintiffs",silent,silent (none),silent (property right in name/photograph/voice/likeness in any medium in any manner; no in-state hook in Pub. Ch. 588),silent,silent,silent,n/a,none,effective 2024-07-01; silent as to pre-effective uses,silent in Pub. Ch. 588,First Amendment fair-use list (news/public affairs/sports; comment/criticism/scholarship/satire/parody; self-portrayal unless false authentic-performance impression; fleeting/incidental; ads for those works) (§ 47-25-1107 as amended),silent,also crime — unauthorized use remains a Class A misdemeanor (cross-cite 39-14-152 family / existing publicity criminal overlay),silent,cite — fair use to the extent protected by the First Amendment; audiovisual work defined under 17 U.S.C. § 101,n/a as AI/ADS — voice includes a sound readily identifiable and attributable to a particular individual regardless of whether it contains the actual voice or a simulation of the voice (Pub. Ch. 588 §3),silent,silent,silent,2026-09-02,"The ELVIS Act renames Tennessee's publicity statute and extends the property right to voice, including simulated voice. Unauthorized commercial use, unauthorized publication/distribution of a voice or likeness, and distribution of a tool whose primary purpose is producing a particular person's voice/likeness, with knowledge of non-authorization, are civilly actionable and a Class A misdemeanor. Remedies are injunction, actual damages, and attributable profits; treble damages plus fees are statutory for knowing violations involving service members."
TN,"Tenn. Code Ann. §§ 39-17-1901–1906 (Preventing Deepfake Images Act, 2025 Tenn. Pub. Acts ch. 466, SB 1346 / HB 1299)",Preventing Deepfake Images Act,in force,2025-05-09 (signed); Pub. Ch. 466 listed 2025-05-15,2025-07-01 (PC 466 § 3),same as effective,"Persons who intentionally disclose an intimate digital depiction without consent, knowing or recklessly disregarding lack of consent (criminal track also covers threaten to disclose or solicit disclosure). Depicted individual identifiable by face, likeness, distinguishing characteristic, or accompanying information.","Intimate-image AI deepfake: videos, images, or audio generated or manipulated by artificial intelligence to realistically portray something that did not occur (§ 39-17-1902); civil PRA plus Class E / Class C felony","No insurance/GLBA carve-out. Civil exceptions: good-faith disclosure to/by law enforcement investigating unlawful or unwelcome conduct; as part of a legal proceeding; or reasonably intended to assist the depicted individual (§ 39-17-1904(d)). ICS / information / telecommunications services not liable for good-faith restriction or content provided by another person (§§ 39-17-1905, 39-17-1906(d)). Disclaimer that the depiction is fake is not a defense. Consent to creation is not consent to disclosure; valid consent is a plain-language signed written agreement.","Private civil plaintiffs. Criminal prosecutors (Class E felony default; Class C if the depiction could reasonably be expected to affect a governmental proceeding including administration of an election, or facilitate violence).",PRA,"§ 39-17-1904: (1) disgorgement of monetary gain from creation/development/disclosure; (2) either actual damages including emotional distress or liquidated $150,000; (3) punitive damages under § 29-39-104; (4) costs and reasonable attorney's fees. Equitable relief (TRO/prelim/permanent injunction); pseudonymous plaintiff. Not a public-penalty statute.",none,https://publications.tnsosfiles.com/acts/114/pub/pc0466.pdf,silent,depicted individual (PRA); silent on class,yes — costs and reasonable attorney's fees (§ 39-17-1904),silent,silent (none),silent as a residence clause (identifiable depicted individual; Tennessee criminal/civil chapter),silent,silent,silent,n/a,none,effective 2025-07-01 (PC 466 §3),silent in PC 466,"ICS / information / telecommunications services not liable for good-faith restriction or content provided by another; civil LE/legal/assist-depicted exceptions (§§ 39-17-1904(d), 1905, 1906(d))",silent,"also crime — Class E felony default; Class C if the depiction could reasonably be expected to affect a governmental proceeding including administration of an election, or facilitate violence",silent,silent,"intimate digital depiction includes videos, images, or audio generated or manipulated by artificial intelligence to realistically portray something that did not occur (§ 39-17-1902)",silent,silent,silent,2026-09-02,"Tennessee's 2025 intimate-deepfake statute creates a civil PRA for nonconsensual disclosure of an intimate digital depiction, defined to include AI-generated or AI-manipulated video, image, or audio of a real identifiable person. The plaintiff may recover disgorgement plus the greater of actual damages (including emotional distress) or $150,000 liquidated, punitive damages, and fees, with no cure period and no insurance or GLBA carve-out. A fake-disclaimer is not a defense. Criminal liability is a Class E felony, elevated to Class C in specified circumstances including effects on an election."
TN,"Tenn. Code Ann. § 2-19-120(a)(6) (Transparency for Deepfakes in Political Advertising Act, 2026 Tenn. Pub. Acts ch. 625, HB 1513 / SB 1624)",Transparency for Deepfakes in Political Advertising Act,in force,2026-03-26 (signed); Pub. Ch. 625 listed 2026-03-30,2026-07-01 (PC 625 § 3),same as effective,Persons making an expenditure for a § 2-19-120 communication (express advocacy / contribution solicitation in general public political advertising) that is a deepfake impersonating or depicting a candidate engaging in speech or action that did not occur. Audio: spoken disclaimer at beginning and end. Video: on-screen large-letter disclaimer for the duration.,Election / political deepfake disclosure (not a total ban); 'deepfake' imported from § 39-17-1902,"No insurance/GLBA carve-out. Hosts, third-party producers, ISPs (including affiliates/subsidiaries), search engines, and cloud providers not liable solely for access/connection/transmission/caching if not responsible for creation of the deepfake. Radio/TV, cable/satellite, streaming/programming services paid to broadcast the material are not liable to the extent they did not create the deepfake. 120-day window before voting begins applies only when the impersonated/depicted candidate is not an incumbent.",Class C misdemeanor via existing § 2-19-120(c) (district attorney). Depicted/impersonated candidate has a civil action.,PAG (candidates depicted/impersonated only),"Imports § 39-17-1904 civil menu except (c) (anonymity): disgorgement; actual damages including emotional distress or liquidated $150,000; punitive damages; costs and fees; equitable relief. No independent liquidated schedule in ch. 625 itself.",none,https://publications.tnsosfiles.com/acts/114/pub/pc0625.pdf,silent,PAG — depicted/impersonated candidate only; imports § 39-17-1904 civil menu except anonymity (c),yes — imported 1904 costs and reasonable attorney's fees,silent,silent (none),expenditure for a § 2-19-120 communication (express advocacy / contribution solicitation in general public political advertising) that is a deepfake; 120-day window before voting begins applies only when the impersonated/depicted candidate is not an incumbent (PC 625),silent,silent,silent,n/a,none,effective 2026-07-01 (PC 625 §3),silent in PC 625,"hosts, third-party producers, ISPs (incl. affiliates), search engines, and cloud providers not liable solely for access/connection/transmission/caching if not responsible for creation; paid radio/TV/cable/satellite/streaming not liable to the extent they did not create the deepfake",silent,also crime — Class C misdemeanor via existing § 2-19-120(c); plus candidate civil action,silent,silent,deepfake imported from § 39-17-1902 (AI-generated or manipulated intimate-depiction definition used for the political-ad disclaimer),silent,silent,silent,2026-09-02,"Effective 1 Jul 2026, Tennessee requires a deepfake disclaimer on specified political advertising that impersonates or depicts a candidate in speech or action that did not occur. The impersonated or depicted candidate is entitled to damages and equitable relief as provided in § 39-17-1904, except the anonymity subsection (c) — so the intimate-deepfake civil menu, including $150,000 liquidated or actual, is imported into election-ad cases. Hosts and paid broadcasters who did not create the deepfake are carved out. There is no insurance/GLBA carve-out and no cure period. Violation of the host political-disclaimer statute remains a Class C misdemeanor."
UT,"Utah Code tit. 13, ch. 77 (SB 226, 2025 Gen. Sess. ch. 465; later amended ch. 95, 2026); originally SB 149 (2024) at former § 13-2-12",Generative Artificial Intelligence — Consumer Disclosures and Enforcement,in force,2025-03 (SB 226); ch. 77 effective 2025-05-07; 2026 ch. 95 amendments,2025-05-07,same,Suppliers using GenAI in consumer transactions; individuals providing services in Department of Commerce-regulated occupations (includes licensed insurance producers as a regulated occupation),"GenAI that simulates human conversation (text/audio/visual) with limited human oversight; high-risk interactions involving health/financial/biometric data or personalized financial, legal, medical, or mental-health advice",UCSPA 'consumer transaction' expressly excepts securities and insurance (Utah Code § 13-11-3(2)(a)) — selling an insurance policy is generally not a ch. 77 consumer-transaction chatbot event. The licensed/certified-occupation high-risk disclosure (13-77-103(2)) is NOT limited to consumer transactions and can still reach Commerce-licensed insurance producers. Supplier disclosure is only on a clear and unambiguous human-vs-AI prompt. Safe harbor if GenAI discloses at the outset and throughout (13-77-104). B2B that is not a UCSPA consumer transaction is out.,Division of Consumer Protection; AG as counsel. Violation is also a Utah Consumer Sales Practices Act violation (13-11-4(1)).,none (AG/DCP only; no PRA in ch. 77),"Administrative fine up to $2,500 per violation; court fine up to $2,500 per violation in a Division action; civil penalty up to $5,000 per violation of an administrative or court order. Not a private liquidated-damages PRA.","none in ch. 77 (safe harbor is disclosure-based, not a cure period)",https://le.utah.gov/xcode/Title13/Chapter77/13-77.html,silent,none (DCP/AG only; no PRA in ch. 77),silent (Division/court fines),silent,silent (none in ch. 77; safe harbor is disclosure-based),UCSPA consumer transaction (which excepts insurance/securities under § 13-11-3(2)(a)); licensed-occupation high-risk disclosure is not limited to consumer transactions,silent,silent,silent,n/a for the consumer-transaction chatbot duty (insurance excepted); licensed insurance producers can still face the high-risk occupation disclosure — situs of a policy silent,none,silent (ch. 77 effective 2025-05-07),silent,yes — 13-77-104: not subject to an enforcement action for violating 13-77-103 if the person's GenAI clearly and conspicuously discloses at the outset and throughout that the user is interacting with AI,silent,civil-only (also a UCSPA 13-11-4(1) violation; DCP/AG),silent,silent,generative artificial intelligence defined in 13-77-101 (conversational GenAI that simulates human conversation with limited human oversight — read 13-77-101 for the full compiled definition),silent,silent,silent,2026-09-02,"Utah ch. 77 requires a supplier using conversational GenAI in a UCSPA consumer transaction to disclose that the counterparty is not human if the individual clearly and unambiguously asks. That consumer-transaction duty excepts insurance and securities under § 13-11-3(2)(a). Licensed occupations must proactively disclose GenAI in high-risk interactions (including financial/insurance-adjacent advice). The Division may fine up to $2,500 per violation; there is no consumer PRA."
UT,"Utah Code tit. 13, ch. 72 (SB 149 (2024); sunset extended by SB 332 (2025) to 2027-07-01; HB 320 (2026) program amendments)",Utah Artificial Intelligence Policy Act — Office of AI Policy / Learning Laboratory,in force (sunsets 2027-07-01 unless extended),2024-03-13 (SB 149),2024-05-01 (original),Office/Lab currently operative; Chapter 72 repeal date 2027-07-01 per 2025 extension (confirm 2026 HB 320 did not move that date),Office of Artificial Intelligence Policy; Learning Lab participants seeking regulatory mitigation / joint interpretation agreements,"State AI policy office and sandbox, not a general private-sector high-risk AI duty","Sandbox mitigations are participant-specific. Disclosure duties now live in ch. 77, not this chapter.",Office of AI Policy / Division as provided in ch. 72,none,none for private plaintiffs in the office/sandbox chapter,n/a,https://le.utah.gov/xcode/Title13/Chapter72/13-72.html,silent,silent,silent,silent,n/a,silent (state office/sandbox),silent,silent,silent,n/a,none,office/lab; Chapter 72 repeal date 2027-07-01 per 2025 extension,silent,sandbox mitigations are participant-specific joint-interpretation/regulatory-mitigation agreements — not a general private-sector harbor,silent,civil-only / administrative (office chapter),silent,silent,silent/n/a as a private-sector AI duty chapter (office/lab),silent,silent,silent,2026-09-02,"SB 149 created the Office of AI Policy and a Learning Laboratory that can grant time-limited regulatory mitigations. SB 332 extended the Chapter 72 repeal to 1 Jul 2027; 2026 amendments added joint-interpretation agreements. This chapter is the sandbox/office, not the consumer disclosure duty (now Chapter 77). Treat the 1 Jul 2027 date as a statutory sunset of the office/lab unless the Legislature extends it."
UT,"Utah Code tit. 13, ch. 72a (HB 452, 2025, eff. 2025-05-07)",Artificial Intelligence Applications Relating to Mental Health,in force,2025-03-25 (signed),2025-05-07,same,Suppliers of mental-health chatbots used by a Utah user (individual located in Utah at time of use),"GenAI chatbot that a supplier represents, or a reasonable person would believe, can provide mental-health therapy or help manage/treat mental-health conditions","Scripted-only tools (e.g., guided meditations) and tools that only analyze input to connect the user to a human therapist are outside the definition (as described in official-adjacent bill analyses; confirm § 13-72a-101). No ch. 72 sunset on this chapter.","Division of Consumer Protection; AG as counsel. 58-60-118 is an affirmative defense to unlicensed-practice charges, not a PRA.",none (DCP/AG-only; no PRA in ch. 72a),"Same DCP stack as ch. 77: administrative fine up to $2,500 per violation; court fine up to $2,500; order-violation up to $5,000. Not a private liquidated-damages PRA.",none in ch. 72a,https://le.utah.gov/xcode/Title13/Chapter72a/13-72a.html,silent,none (DCP/AG-only; no PRA in ch. 72a),silent (DCP stack),silent,silent (none in ch. 72a),suppliers of mental-health chatbots used by a Utah user (individual located in Utah at time of use),silent (hook is use by an individual located in Utah at time of use),silent,silent,n/a,none,silent (effective 2025-05-07),silent,scripted-only tools and tools that only connect the user to a human therapist are outside the definition (confirm § 13-72a-101),silent,"civil-only (58-60-118 is an affirmative defense to unlicensed-practice charges, not a PRA)",silent,silent,"GenAI chatbot that a supplier represents, or a reasonable person would believe, can provide mental-health therapy or help manage/treat mental-health conditions (ch. 72a)",silent,silent,silent,2026-09-02,"Utah regulates mental-health chatbots offered to users physically located in the state. A covered chatbot must disclose that it is AI before first access, after a seven-day gap, and whenever the user asks. Enforcement is DCP/AG; there is no private right of action in chapter 72a. Penalties track the $2,500 / $5,000 Division stack."
UT,"Utah Code § 31A-22-650 as amended (SB 319, 2026 Gen. Sess., ch. 240 as commonly cited)",Health insurance preauthorization — AI disclosure and human medical judgment,delayed,2026-03-19 (signed),2027-01-01,2027-01-01,Health insurers subject to Utah Insurance Code preauthorization rules that use AI in reviewing authorization requests,AI in prior-authorization / authorization-request review; independent medical judgment on clinical/medical-necessity denials,Special effective date 2027-01-01. Prescription-drug timing carve-outs appear in bill summaries — confirm in the enrolled bill. Not a GLBA privacy statute.,Utah Insurance Department (existing Insurance Code tools; SB 319 does not appear to add a new PRA),none identified in bill summaries; unconfirmed from enrolled text,none identified in SB 319; unconfirmed,unconfirmed,https://le.utah.gov/~2026/bills/static/SB0319.html,silent,silent,silent (unconfirmed from enrolled as a new fee-shift),silent,silent (unconfirmed),silent (health insurers subject to Utah Insurance Code preauthorization rules),silent,silent,silent,silent (no delivered/issued clause identified in SB 319 as indexed),none identified,special effective date 2027-01-01,silent,silent,silent,silent (expected Insurance Department civil/admin tools; no new PRA identified),silent,silent,AI in reviewing authorization requests; adverse clinical/medical-necessity determinations must be by an individual exercising independent medical judgment (SB 319),silent,silent,silent,2026-09-02,"Signed 19 Mar 2026 and effective 1 Jan 2027, SB 319 requires a health insurer that uses AI in authorization-request review to disclose that use on a conspicuous public website and to the department, network providers, and enrollees. Adverse clinical/medical-necessity determinations must be made by an individual exercising independent medical judgment, not solely on another source's (including AI) recommendation. Enforcement is expected to ride existing Insurance Department authority; a new PRA was not identified."
UT,"Utah Code § 20A-11-1104 (SB 131, 2024 Gen. Sess.)",Election synthetic-media disclosure,in force,2024-03-13,2024-05-01,same as effective,"Creator (person who uses AI to generate synthetic media; not a mere tech provider) and sponsor (person who pays) of a paid audio/visual communication intended to influence voting for/against a candidate or ballot proposition in a Utah election/primary, paid by a candidate committee, PAC, PIC, party, or person using a contribution, that contains synthetic media",Election / political deepfake disclosure,Creator excludes sole technology providers. No insurance/GLBA carve-out.,A person may bring a civil action against creator or sponsor,PRA (civil penalty),"Civil penalty not to exceed $1,000 per violation. Compliance does not exempt other civil/criminal liability.",none,https://le.utah.gov/xcode/Title20A/Chapter11/20A-11-S1104.html,silent,PRA — a person may bring a civil action against creator or sponsor (20A-11-1104); silent on class,"silent (civil penalty <= $1,000 per violation)",silent,silent (none),paid audio/visual communication intended to influence voting for/against a candidate or ballot proposition in a Utah election/primary,silent (creator excludes sole technology providers),silent,silent,n/a,none,silent,silent,creator excludes sole technology providers,silent,civil-only as this section (compliance does not exempt other civil/criminal liability),silent,silent,"synthetic media created using AI (20A-11-1104); creator = person who uses AI to generate synthetic media, not a mere tech provider",silent,silent,silent,2026-09-02,"Utah requires specified paid political audio/visual communications that contain AI synthetic media to carry labeled disclosures (and online ads, tamper-evident provenance). A person may sue the creator or sponsor for a civil penalty not to exceed $1,000 per violation. Mere technology providers are not 'creators.'"
UT,"Utah Code tit. 13, ch. 72b (Digital Voyeurism Prevention Act) as enacted by HB 276, 2026 Gen. Sess. (same bill also enacts ch. 72c provenance, AG-only, not a separate index row)",Digital Voyeurism Prevention Act,delayed,2026-03-24 (signed),2027-01-01,2027-01-01 (capture-device latent-disclosure in companion ch. 72c: devices produced for sale in Utah on or after 2028-01-01),Generation services (server-side intimate-image generators) and covered platforms (Take It Down Act definition),Intimate-image AI generation / NCII deepfake (platforms and generation services),Safe harbors and heightened pleading for generation services and platforms; § 230 savings; Take It Down Act alignment. No insurance/GLBA carve-out.,Private plaintiffs (13-72b). Companion 13-72c provenance duties are DCP/AG-only.,PRA (13-72b). 13-72c in the same bill is AG-only.,"13-72b: injunction, destruction, actual damages including emotional distress, punitive if willful/reckless/malicious, fees. Damages need not be proved to get injunction/destruction. No general liquidated dollar floor. Platform takedown: 48 hours after qualifying notice.",48-hour platform takedown after qualifying notice (not a general pre-suit cure),https://le.utah.gov/~2026/bills/hbillenr/HB0276.pdf,silent,PRA against generation services and covered platforms (13-72b); silent on class,"yes — fees among 13-72b remedies (injunction, destruction, actual incl. emotional distress, punitive if willful, fees)",silent,48-hour platform takedown after qualifying notice (not a general pre-suit cure),silent as a general residence clause in the indexed row (generation services / Take It Down covered platforms; confirm enrolled HB 276 for any Utah-user hook),silent,silent,silent,n/a,none,most sections 2027-01-01; capture-device latent-disclosure companion ch. 72c: devices produced for sale in Utah on or after 2028-01-01,silent in the enrolled materials as indexed,safe harbors and heightened pleading for generation services and platforms; § 230 savings; Take It Down Act alignment (HB 276),silent,civil-only in 13-72b (companion 13-72c is DCP/AG-only),silent,cite — § 230 savings; Take It Down Act alignment (HB 276),intimate-image AI generation / NCII deepfake as defined in 13-72b (read enrolled HB 276 for the generation-service definition),silent,silent,silent,2026-09-02,"HB 276 (signed 24 Mar 2026, most sections 1 Jan 2027) creates a PRA against intimate-image generation services and covered platforms (13-72b): injunction, destruction, actual damages including emotional distress, and punitive damages if willful. The same bill's provenance chapter (13-72c) is AG-only and is not a separate row. This is a real AI/NCII statute, not yet operative."
